user,tweet_text,reply_count,retweet_count,like_count,tweet_id
@Starlink,Starlink connecting remote indigenous communities across the Philippines,247,700,"4,854",31930h93ig
@Forbes,"Uncover how emojis enhance workplace communication, speed up dialogue, and build stronger team connections in our increasingly digital world.",1,3,31,kyy73aja1we
@Forbes,"In a year that’s lining up to be economically uncertain, putting some safety in your portfolio is a smart move.",2,2,15,poouz8f7t7
@Forbes,"Whether you’re currently designing a contemporary space or just refreshing an old one, here are nine contemporary design tips shared by expert interior designers.",2,6,16,55wsjqf0v5k
@Forbes,"The combination of a huge drop in wholesale prices and a slowdown in sales means consumers looking to land an affordable deal on a car or truck may find them on used car lots, if they hurry.",,5,9,x111u5cccz
@Forbes,"Barbie, Inc: How A $3 Toy Inspired A Multi-Billion-Dollar Dream World",2,7,31,dp7ufzxcix5
@CBCNews,#BREAKING: Thousands of port workers across British Columbia are set to resume strike activity after failing to ratify a tentative deal that was reached through federal mediation.,26,54,55,a2179ny4jsr
@Forbes,In-N-Out Burger has a new store policy prohibiting employees from wearing masks unless they have an approved doctor’s note.,21,39,126,aot5by5rm9m
@Google,"Bard is now available in 40+ new languages, including Arabic, Chinese, German, Hindi and Spanish. We've also expanded access, including Brazil and all 27 countries in the EU. Try it out → https://goo.gle/44NgU9N",32,282,618,vmnh388cwah
@CBCNews,B.C. parents who lost their nine-year-old boy last week said the coroner told them their son's cause of death was likely a severe asthma attack exacerbated by smoky air.,139,181,335,pe9zbcw1m6b
@Forbes,"As Many As 700,000 Turkish TikTok Accounts Were Hacked Before The Country’s Presidential Election https://trib.al/xTkdJ2C",1,10,16,w0fz7i7c99
@Forbes,Best Online Colleges Of 2023 https://trib.al/rcKvIAD via @ForbesAdvisor,1,2,12,ah4vsdnp57
@Forbes,"As Many As 700,000 Turkish TikTok Accounts Were Hacked Before The Country’s Presidential Election https://trib.al/5g7eFKN",2,2,6,uxp2o6kqfym
@Forbes,"Here’s what people living on the East Coast and Midwest of the United States can learn from their Western neighbors, who have had to contend with wildfire smoke and poor air quality with increasing frequency.",,4,12,n9wf3urn7vp
@Forbes,How To Disconnect From Work Without Feeling Guilty https://trib.al/4mq15DQ,1,6,11,wrrlk9bk19b
@Forbes,White Lotus breakout star Simona Tabasco shines amongst the backdrop of Europe’s brightest young and talented changemakers and innovators in the entertainment industry.,1,,2,05rf75dxf0ok
@nathaliejacoby1,"A simple yes or no, to prove a point. Do you think Donald Trump should be BANNED from running for President in 2024?",10.2K,"1,596","9,403",fbaqj3shyus
@MattWallace888,NEWS ALERT: JOE BIDEN FALLS ASLEEP MOMENTS AGO IN THE MIDDLE OF IMPORTANT MEETING AT THE WHITE HOUSE,"6,874",17.4K,51.8K,ilqst41kw6m
@CBCNews,"James Patterson, Suzanne Collins and Margaret Atwood are among more than 8,000 writers endorsing an open letter from the Authors Guild urging AI companies to obtain permission before incorporating copyrighted work into their technologies.",7,45,175,a4chk33z6ql
