title,url,user-agent
XxxHolic (2022) - full transcript,https://subslikescript.com/movie/XxxHolic-16233104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
xXx: Return of Xander Cage (2017) - full transcript,https://subslikescript.com/movie/xXx_Return_of_Xander_Cage-1293847,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
xXx (2002) - full transcript,https://subslikescript.com/movie/xXx-295701,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XX (2007) - full transcript,https://subslikescript.com/movie/XX-1043877,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xtro 3: Watch the Skies (1995) - full transcript,https://subslikescript.com/movie/Xtro_3_Watch_the_Skies-115006,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xtro (1982) - full transcript,https://subslikescript.com/movie/Xtro-86610,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XTC: This Is Pop (2017) - full transcript,https://subslikescript.com/movie/XTC_This_Is_Pop-7465694,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XOXO (2016) - full transcript,https://subslikescript.com/movie/XOXO-4855748,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xolo (2017) - full transcript,https://subslikescript.com/movie/Xolo-9676614,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XL: The Temptation of Christ (2018) - full transcript,https://subslikescript.com/movie/XL_The_Temptation_of_Christ-7697348,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XL (2013) - full transcript,https://subslikescript.com/movie/XL-2359473,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xingu (2011) - full transcript,https://subslikescript.com/movie/Xingu-2142055,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xing yuan (1999) - full transcript,https://subslikescript.com/movie/Xing_yuan-213314,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xin ti xiao yin yuan (1975) - full transcript,https://subslikescript.com/movie/Xin_ti_xiao_yin_yuan-73314,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XY Chelsea (2019) - full transcript,https://subslikescript.com/movie/XY_Chelsea-6905676,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xin qing guó qingchéng (2005) - full transcript,https://subslikescript.com/movie/Xin_qing_gu_qingchng-4020122,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xin Qiji 1162 (2020) - full transcript,https://subslikescript.com/movie/Xin_Qiji_1162-12764298,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xin chen san wu niang (1967) - full transcript,https://subslikescript.com/movie/Xin_chen_san_wu_niang-62505,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XIII: The Conspiracy (2008) - full transcript,https://subslikescript.com/movie/XIII_The_Conspiracy-1117667,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xie zi (1992) - full transcript,https://subslikescript.com/movie/Xie_zi-2183186,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xico's Journey (2020) - full transcript,https://subslikescript.com/movie/Xicos_Journey-12481806,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xiao zi ming da (1979) - full transcript,https://subslikescript.com/movie/Xiao_zi_ming_da-79142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xiao Wu (1998) - full transcript,https://subslikescript.com/movie/Xiao_Wu-144020,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xiao lan (2022) - full transcript,https://subslikescript.com/movie/Xiao_lan-21881700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xiang Gang qi an 5: Jian mo (1977) - full transcript,https://subslikescript.com/movie/Xiang_Gang_qi_an_5_Jian_mo-934437,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xian dai hao fang nu (1985) - full transcript,https://subslikescript.com/movie/Xian_dai_hao_fang_nu-90224,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xia ri le you you (2011) - full transcript,https://subslikescript.com/movie/Xia_ri_le_you_you-2062580,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
